No.,Rk/Pk,Round,Team,Player,College,Years,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
41,41,2,ATL,Tyler Dorsey,University of Oregon,1,43,647,241,90,55,0.349,0.326,0.714,15.0,5.6,2.1,1.3,0.1,0.005,-5.0,-0.5
42,42,2,UTA,Thomas Bryant,Indiana University,1,10,33,11,6,2,0.333,0.200,0.667,3.3,1.1,0.6,0.2,0.0,0.039,-7.0,0.0
43,43,2,HOU,Isaiah Hartenstein,,,,,,,,,,,,,,,,,,
44,44,2,NYK,Damyean Dotson,University of Oregon,1,35,298,100,46,18,0.435,0.300,0.667,8.5,2.9,1.3,0.5,0.2,0.035,-4.2,-0.2
45,45,2,HOU,Dillon Brooks,University of Oregon,1,68,1949,675,208,99,0.441,0.368,0.750,28.7,9.9,3.1,1.5,1.0,0.025,-3.2,-0.6
46,46,2,PHI,Sterling Brown,Southern Methodist University,1,43,659,196,125,20,0.420,0.377,0.864,15.3,4.6,2.9,0.5,0.9,0.063,-3.1,-0.2
47,47,2,IND,Ike Anigbogu,"University of California, Los Angeles",1,10,28,13,9,0,0.444,,0.833,2.8,1.3,0.9,0.0,0.1,0.177,-5.4,0.0
48,48,2,MIL,Sindarius Thornwell,University of South Carolina,1,59,869,210,96,43,0.440,0.367,0.698,14.7,3.6,1.6,0.7,1.0,0.054,-1.3,0.1
49,49,2,DEN,Vlatko Cancar,,,,,,,,,,,,,,,,,,
50,50,2,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,2,DEN,Monte Morris,Iowa State University,1,3,25,10,2,7,0.667,0.000,1.000,8.3,3.3,0.7,2.3,0.2,0.313,2.1,0.0
52,52,2,NOP,Edmond Sumner,Xavier University,,,,,,,,,,,,,,,,,
53,53,2,BOS,Kadeem Allen,University of Arizona,1,8,27,5,3,1,0.167,0.000,0.750,3.4,0.6,0.4,0.1,-0.1,-0.145,-10.4,-0.1
54,54,2,PHO,Alec Peters,Valparaiso University,1,12,98,24,20,8,0.250,0.185,1.000,8.2,2.0,1.7,0.7,-0.1,-0.027,-5.5,-0.1
55,55,2,UTA,Nigel Williams-Goss,Gonzaga University,,,,,,,,,,,,,,,,,
56,56,2,BOS,Jabari Bird,University of California,1,4,22,5,2,1,0.250,0.000,0.600,5.5,1.3,0.5,0.3,0.0,0.058,-4.6,0.0
57,57,2,BRK,Aleksandar Vezenkov,,,,,,,,,,,,,,,,,,
58,58,2,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,2,SAS,Jaron Blossomgame,Clemson University,,,,,,,,,,,,,,,,,
60,60,2,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
