985306682287767558,Eastern Time (US & Canada),2018-04-14 23:59:53,0,481,b'RT @TorontoComms: The Toronto Sign will be red today for the Toronto @Raptors first playoff game #WeTheNorth #nba https://t.co/9iRXawmj67',"[{'text': 'WeTheNorth', 'indices': [97, 108]}, {'text': 'nba', 'indices': [109, 113]}]"
985306682023702528,Quito,2018-04-14 23:59:53,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306681881088001,,2018-04-14 23:59:53,0,57031,b'RT @LakeShowYo: Tristan Thompson really cheated on Khloe 4 days before NBA playoffs start so the Cavs could avoid the Kardashian curse.\nWha\xe2\x80\xa6',[]
985306679876124672,Central Time (US & Canada),2018-04-14 23:59:53,6,2,b'My books are on #Amazon for hard copy and #KindleEbook\nhttps://t.co/RCjhfjy0ve\n#ebook #ebooks #KindleUnlimited\xe2\x80\xa6 https://t.co/YDrxHi6rfC',"[{'text': 'Amazon', 'indices': [16, 23]}, {'text': 'KindleEbook', 'indices': [42, 54]}, {'text': 'ebook', 'indices': [79, 85]}, {'text': 'ebooks', 'indices': [86, 93]}, {'text': 'KindleUnlimited', 'indices': [94, 110]}]"
985306678777262080,Eastern Time (US & Canada),2018-04-14 23:59:52,0,4409,b'RT @sixers: The @NBA Playoffs are coming...\n\n#HereTheyCome x #PhilaUnite https://t.co/Tdsv1j3iu2',"[{'text': 'HereTheyCome', 'indices': [45, 58]}, {'text': 'PhilaUnite', 'indices': [61, 72]}]"
985306678735376384,,2018-04-14 23:59:52,0,428,b'RT @ElalcaldeRafa: For the 4th time in his career @kingjames has won POM at least 4X in a season. Since \xe2\x80\x9801-\xe2\x80\x9802 when @nba started awarding\xe2\x80\xa6',[]
985306675191205888,Central Time (US & Canada),2018-04-14 23:59:52,0,1,b'RT @TheGorgeousGael: Saturday Night \xe2\x98\x98\xef\xb8\x8f\n@TheGorgeousGael \n#RiceVillage #WestU #Houston\n\n#MLB #Baseball \xe2\x9a\xbe\xef\xb8\x8f\n#NBA Playoffs \xf0\x9f\x8f\x80\n#NHL Playoffs \xf0\x9f\x8f\x92\n\n#\xe2\x80\xa6',"[{'text': 'RiceVillage', 'indices': [57, 69]}, {'text': 'WestU', 'indices': [70, 76]}, {'text': 'Houston', 'indices': [77, 85]}, {'text': 'MLB', 'indices': [87, 91]}, {'text': 'Baseball', 'indices': [92, 101]}, {'text': 'NBA', 'indices': [105, 109]}, {'text': 'NHL', 'indices': [121, 125]}]"
985306673098186753,,2018-04-14 23:59:51,0,430,b'RT @T_Sharp4: Toronto Raptors in the regular season vs the NBA playoffs https://t.co/yQpJVDYl3I',[]
985306671164555264,,2018-04-14 23:59:51,1,0,b'The NBA finals are in June. LOL',[]
985306670275309569,Mountain Time (US & Canada),2018-04-14 23:59:50,0,0,b'Watch Heat vs Sixers Live Free ESPN Online Streaming 2018 NBA Playoffs Basketball Game - - https://t.co/s0kw9D7cTn',[]
985306667502985216,Saskatchewan,2018-04-14 23:59:50,0,0,b'COLD https://t.co/HqUKevz6rC',[]
985306666706104321,Eastern Time (US & Canada),2018-04-14 23:59:50,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306665598836736,Eastern Time (US & Canada),2018-04-14 23:59:49,0,401,b'RT @Ebk_numba00: I\xe2\x80\x99ll never fold on somebody I care about \xf0\x9f\x92\xaf',[]
