user_id,time_zone,created_at,fav,retweet,text,tags
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,101,30,"b""Spoke with a couple of NBA two way players &amp; some NBA personnel on the G-League. My takeaway. It's not about what y\xe2\x80\xa6 https://t.co/Eak2QF7cy4""",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,1,0,b'Nba refs are trash.',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,5,1,"b'Wow. So many thoughts on this article. Pulled a tear or two out of me. @UMich is a very special place, and it chang\xe2\x80\xa6 https://t.co/fFtPwoaQ0d'",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,617,b'RT @DukeMBB: Best wishes to our guys on NBA Playoff rosters! \n\n#DukeintheNBA\n#TheBrotherhood\n\n\xf0\x9f\x94\xb5\xf0\x9f\x98\x88 https://t.co/ifIo3ChhPa',"[{'text': 'DukeintheNBA', 'indices': [63, 76]}, {'text': 'TheBrotherhood', 'indices': [77, 92]}]"
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,59,"b""RT @purehoop: I almost wish the playoffs didn't start tomorrow so I could keep these going #nba\n*no, I do not wish that at all https://t.co\xe2\x80\xa6""","[{'text': 'nba', 'indices': [91, 95]}]"
9.85E+17,Atlantic Time (Canada),4/14/2018 23:59,0,6,b'RT @dopeboySHAKE: New @JColeNC alert! https://t.co/JlsBU5XpJV',[]
9.85E+17,Mountain Time (US & Canada),4/14/2018 23:59,0,265,"b'RT @NBA: John Wall was dishing in the 1st half, dropping 10 dimes to go along with a team-high 13 PTS! #DCFamily https://t.co/I6Pr6CveEy'","[{'text': 'DCFamily', 'indices': [103, 112]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,1,1,b'YOUR DAMN REFS ARE TERRIBLE IN THIS WIZ/RAPTORS GAME @NBA',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,209,b'RT @HoopReview: Speaking to several nba scouts @nikehoopsummit this week... General consensus is this 2018 class is soft and needs to learn\xe2\x80\xa6',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,15,9,b'nba youngboy x nicki minaj\xf0\x9f\x98\xa9 just wow.',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,1,0,b'No one gets fouled without it being called in the entire NBA more than John Wall. Bullshit.',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,0,b'You gotta be kidding that\xe2\x80\x99s game #NBA #NBAnaESPN #NBAPlayoff #WizRaptors #ThaEndOfDaBench',"[{'text': 'NBA', 'indices': [33, 37]}, {'text': 'NBAnaESPN', 'indices': [38, 48]}, {'text': 'NBAPlayoff', 'indices': [49, 60]}, {'text': 'WizRaptors', 'indices': [61, 72]}, {'text': 'ThaEndOfDaBench', 'indices': [73, 89]}]"
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,0,b'Wall can\xe2\x80\x99t finish at the hoop on back to back possessions smh #NBA #Wizards',"[{'text': 'NBA', 'indices': [62, 66]}, {'text': 'Wizards', 'indices': [67, 75]}]"
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,0,b'Fuck the refs and fuck the Raptors. #NBA #NBAIsFixed',"[{'text': 'NBA', 'indices': [36, 40]}, {'text': 'NBAIsFixed', 'indices': [41, 52]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'@NBA WHAT ARE THESE REFS RN?!?!?!?!?!??!?!?!?!?!?!?!?!?!?!?!?!? FUCK',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,659,178,b'#AllEyesNorth as the @Timberwolves head to the NBA playoffs. Governor Mark Dayton has proclaimed April 15th as Minn\xe2\x80\xa6 https://t.co/fpHaeUs16t',"[{'text': 'AllEyesNorth', 'indices': [0, 13]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,291,"b'RT @NBA: 18 in the 2nd half, 27 total... Klay Thompson is on fire!\n\n@warriors on top 103-79!\n\n#DubNation #NBAonABC https://t.co/LDzSOyNOVG'","[{'text': 'DubNation', 'indices': [94, 104]}, {'text': 'NBAonABC', 'indices': [105, 114]}]"
9.85E+17,Baghdad,4/14/2018 23:59,0,329,b'RT @NBA: Markelle Fultz works on getting to the rim ahead of his #NBAPlayoffs debut with the @sixers 8pm/et @ESPNNBA! #PhilaUnite https://t\xe2\x80\xa6',"[{'text': 'NBAPlayoffs', 'indices': [65, 77]}, {'text': 'PhilaUnite', 'indices': [118, 129]}]"
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
9.85E+17,Quito,4/14/2018 23:59,0,0,"b""@Raptors @OfficialNBARefs @NBA Seriously? Can the Refs please have a heart and be fair? God don't like ugly guys! N\xe2\x80\xa6 https://t.co/FzDt7ALkfE""",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,35,b'RT @bballbreakdown: Delon Wright might be the most underrated player in the NBA https://t.co/80UNbakK9q',[]
9.85E+17,Arizona,4/14/2018 23:59,0,0,"b""@espn @ESPNNBA @NBA @NBAonTNT @NBAPlayoffDaily @nbaplayoffstnt @russwest44 @KDTrey5 y'all know OKC would've destroy\xe2\x80\xa6 https://t.co/Cu7WD442vb""",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,5,b'RT @kushesha: #VGMA2018 we rooting for our man dem chale @KwesiArthur_',"[{'text': 'VGMA2018', 'indices': [14, 23]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,1,b'RT @___EasyMoney: I hate how soft the nba is lol',[]
